Ажилчдын тооны бүлэг,Аймаг сум,2024-IV
Бүгд,Цагааннуур,25
Бүгд,Орхон,"2,689"
Бүгд,Баян-Өндөр,"2,625"
Бүгд,Жаргалант,64
Бүгд,Төвийн бүс,"11,103"
Бүгд,Дорноговь,"1,367"
Бүгд,Айраг,44
Бүгд,Алтанширээ,17
Бүгд,Даланжаргалан,58
Бүгд,Дэлгэрэх,26
Бүгд,Иххэт,21
Бүгд,Мандах,22
Бүгд,Өргөн,28
Бүгд,Сайхандулаан,15
Бүгд,Улаанбадрах,19
Бүгд,Хатанбулаг,42
Бүгд,Хөвсгөл,21
Бүгд,Эрдэнэ,25
Бүгд,Сайншанд,764
Бүгд,Замын-Үүд,265
Бүгд,Дундговь,880
Бүгд,Дэлгэрцогт,24
Бүгд,Дэрэн,25
Бүгд,Говь-Угтаал,22
Бүгд,Цагаандэлгэр,23
Бүгд,Баянжаргалан,31
Бүгд,Өндөршил,20
Бүгд,Гурвансайхан,29
Бүгд,Өлзийт,28
Бүгд,Хулд,52
Бүгд,Луус,38
Бүгд,Дэлгэрхангай,26
Бүгд,Сайхан-Овоо,32
Бүгд,Эрдэнэдалай,49
Бүгд,Сайнцагаан,435
Бүгд,Адаацаг,46
Бүгд,Өмнөговь,"2,496"
Бүгд,Баяндалай,46
Бүгд,Баян-Овоо,41
Бүгд,Булган,42
Бүгд,Гурвантэс,124
Бүгд,Мандал-Овоо,26
Бүгд,Манлай,46
Бүгд,Номгон,39
Бүгд,Ноён,36
Бүгд,Сэврэй,32
Бүгд,Ханбогд,365
Бүгд,Ханхонгор,27
Бүгд,Хүрмэн,17
Бүгд,Цогт-Овоо,40
Бүгд,Цогтцэций,291
Бүгд,Даланзадгад,"1,324"
Бүгд,Сэлэнгэ,"2,074"
Бүгд,Алтанбулаг,81
Бүгд,Ерөө,127
Бүгд,Зүүнбүрэн,45
Бүгд,Мандал,464
Бүгд,Орхон,46
Бүгд,Сант,30
Бүгд,Цагааннуур,97
Бүгд,Баянгол,89
Бүгд,Сайхан,154
Бүгд,Орхонтуул,50
Бүгд,Баруунбүрэн,63
Бүгд,Шаамар,70
Бүгд,Хүдэр,100
Бүгд,Сүхбаатар,520
Бүгд,Жавхлант,44
Бүгд,Түшиг,39
Бүгд,Хушаат,55
Бүгд,Төв,"1,541"
Бүгд,Алтанбулаг,32
Бүгд,Батсүмбэр,81
Бүгд,Баян,25
Бүгд,Баян-Өнжүүл,36
Бүгд,Баяндэлгэр,24
Бүгд,Баянжаргалан,17
Бүгд,Баянцагаан,28
Бүгд,Баянцогт,31
Бүгд,Борнуур,63
Бүгд,Бүрэн,29
Бүгд,Дэлгэрхаан,17
Бүгд,Жаргалант,100
Бүгд,Заамар,68
Бүгд,Лүн,42
Бүгд,Мөнгөнморьт,28
Бүгд,Өндөрширээт,19
Бүгд,Сэргэлэн,45
Бүгд,Угтаалцайдам,48
Бүгд,Эрдэнэ,65
Бүгд,Эрдэнэсант,64
Бүгд,Баянчандмань,70
Бүгд,Зуунмод,449
Бүгд,Сүмбэр,35
Бүгд,Цээл,56
Бүгд,Архуст,20
Бүгд,Аргалант,33
Бүгд,Баянхангай,16
Бүгд,Дархан-Уул,"2,367"
Бүгд,Дархан,"2,142"
Бүгд,Хонгор,96
Бүгд,Орхон,54
Бүгд,Шарын гол,75
Бүгд,Говьсүмбэр,378
Бүгд,Сүмбэр,318
Бүгд,Баянтал,18
Бүгд,Шивээговь,42
Бүгд,Зүүн бүс,"4,045"
Бүгд,Дорнод,"1,798"
Бүгд,Баяндун,56
Бүгд,Баянтүмэн,50
Бүгд,Булган,48
Бүгд,Гурванзагал,40
Бүгд,Дашбалбар,58
Бүгд,Матад,43
Бүгд,Халхгол,74
Бүгд,Хөлөнбуйр,25
Бүгд,Сэргэлэн,33
Бүгд,Цагаан-Овоо,46
Бүгд,Баян-Уул,63
Бүгд,Чойбалсан,37
Бүгд,Чулуунхороот,27
Бүгд,Хэрлэн,"1,198"
Бүгд,Сүхбаатар,913
Бүгд,Асгат,25
Бүгд,Баяндэлгэр,44
Бүгд,Дарьганга,39
Бүгд,Мөнххаан,55
Бүгд,Наран,18
Бүгд,Онгон,27
Бүгд,Сүхбаатар,36
Бүгд,Түвшинширээ,34
Бүгд,Түмэнцогт,38
Бүгд,Уулбаян,23
Бүгд,Халзан,24
Бүгд,Эрдэнэцагаан,77
Бүгд,Баруун-Урт,473
Бүгд,Хэнтий,"1,334"
Бүгд,Галшир,28
Бүгд,Баянхутаг,33
